action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,13378747,[],CHEMBL2406877,Displacement of MR121-Nrf2 from human N-terminal His-tagged Kelch-DC domain of Keap1 (321 to 609) expressed in Escherichia coli BL21 (DE3) after 40 mins by 2D-FIDA assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL2401631,Bioorg Med Chem,2013,"{'bei': '11.17', 'le': '0.22', 'lle': '1.11', 'sei': '5.03'}",CHEMBL2402207,,CHEMBL2402207,5.57,0,http://www.openphacts.org/units/Nanomolar,1905196,=,1,1,=,,IC50,nM,,2700.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,2.7
,,13378748,[],CHEMBL2406877,Displacement of MR121-Nrf2 from human N-terminal His-tagged Kelch-DC domain of Keap1 (321 to 609) expressed in Escherichia coli BL21 (DE3) after 40 mins by 2D-FIDA assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)[nH]c2=O)c(C)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2401631,Bioorg Med Chem,2013,,CHEMBL2402206,,CHEMBL2402206,,0,http://www.openphacts.org/units/Nanomolar,1905195,=,1,1,=,,IC50,nM,,118000.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,118.0
,,13378749,[],CHEMBL2406877,Displacement of MR121-Nrf2 from human N-terminal His-tagged Kelch-DC domain of Keap1 (321 to 609) expressed in Escherichia coli BL21 (DE3) after 40 mins by 2D-FIDA assay,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)O,,,CHEMBL2401631,Bioorg Med Chem,2013,"{'bei': '4.03', 'le': None, 'lle': None, 'sei': None}",CHEMBL2402205,,CHEMBL2402205,7.48,0,http://www.openphacts.org/units/Nanomolar,1905194,=,1,1,=,,IC50,nM,,33.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,33.0
,,15767053,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '11.57', 'le': '0.23', 'lle': '1.31', 'sei': '5.21'}",CHEMBL2402207,,CHEMBL2402207,5.77,0,http://www.openphacts.org/units/Nanomolar,2509195,=,1,1,=,,IC50,nM,,1700.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,1700.0
,,15767054,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '12.53', 'le': '0.25', 'lle': '4.28', 'sei': '4.59'}",CHEMBL3237245,,CHEMBL3237245,7.70,0,http://www.openphacts.org/units/Nanomolar,2509196,=,1,1,=,,IC50,nM,,20.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,20.0
,Not Determined,15767055,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL2133303,,CHEMBL2133303,,0,,2509197,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,,15767056,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)c1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '11.31', 'le': '0.23', 'lle': '1.18', 'sei': '5.09'}",CHEMBL3632699,,CHEMBL3632699,5.64,0,http://www.openphacts.org/units/Nanomolar,2509198,=,1,1,=,,IC50,nM,,2300.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,2300.0
,Not Determined,15767057,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccc(Cl)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL484276,,CHEMBL484276,,0,,2509199,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767058,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)c1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(C(=O)O)c3)c3ccccc23)c1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632700,,CHEMBL3632700,,0,,2509200,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767059,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)c1ccc(C(F)(F)F)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632701,,CHEMBL3632701,,0,,2509201,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
