molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3237245,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,614.6540000000002,3.416800000000001,2.0,8.0,7.5376020021010435
CHEMBL3422852,Cc1cccc2c1CCN(C(=O)[C@H]1CCCC[C@H]1C(=O)O)[C@@H]2CN1Cc2ccccc2C1=O,active,446.5470000000002,3.9678200000000032,1.0,3.0,6.1249387366083
CHEMBL3601205,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)cc2)cc1,active,532.5960000000002,2.863240000000001,2.0,6.0,6.015022873584506
CHEMBL3601207,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(C)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)cc2C)cc1,inactive,592.6480000000003,2.880440000000001,2.0,8.0,4.992679047077256
CHEMBL3600394,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OC)c2)cc1,active,594.6200000000002,2.2721999999999998,2.0,9.0,6.220403508742176
CHEMBL3601208,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c3ccccc23)cc1,active,582.6560000000003,4.016440000000002,2.0,6.0,7.7423214251308154
CHEMBL3601209,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(F)cc2)c2ccccc12)S(=O)(=O)c1ccc(F)cc1,active,590.5820000000002,3.677800000000002,2.0,6.0,7.265200170411153
CHEMBL3601210,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)S(=O)(=O)c1ccc(Cl)cc1,active,623.4920000000001,4.706400000000003,2.0,6.0,7.373659632624958
CHEMBL3601211,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(Br)cc2)c2ccccc12)S(=O)(=O)c1ccc(Br)cc1,active,712.3940000000001,4.924600000000003,2.0,6.0,7.437707135543525
CHEMBL3601212,CC(=O)Nc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(NC(C)=O)cc3)c3ccccc23)cc1,active,668.7060000000002,3.3164000000000016,4.0,8.0,7.841637507904751
CHEMBL3601213,CC(C)(C)c1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C(C)(C)C)cc3)c3ccccc23)cc1,active,666.8180000000002,5.9946000000000055,2.0,6.0,7.29929628285498
CHEMBL3601214,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)c(C)c1,active,638.7640000000002,5.250120000000004,2.0,6.0,6.009217308196862
CHEMBL3601215,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccccc1,active,554.6020000000002,3.399600000000002,2.0,6.0,7.464705879957229
CHEMBL3601216,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(OC(F)(F)F)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC(F)(F)F)cc1,active,722.5940000000003,5.196800000000003,2.0,8.0,6.747146969020107
CHEMBL3601217,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2cccc3ccccc23)c2ccccc12)S(=O)(=O)c1cccc2ccccc12,active,654.7220000000001,5.706000000000005,2.0,6.0,7.324221658325915
